
##### OOB #####
units = {
	#Newark
	fleet = {
		name = "Battle Fleet 5"
		naval_base = 6882  #Newark
		task_force = {
			ship = { name = "USS Harlan R. Dickson" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Hugh Purvis" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Barton" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Walke" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Laffey" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS O'Brien" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Meredith" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS De Haven" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mansfield" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Lyman K. Swenson" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Collett" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Maddox" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Hyman" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mannert L. Abele" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }
			ship = { name = "USS Purdy" definition = destroyer start_experience_factor = 0.2 equipment = { usa_destroyer_hull_8 = { amount = 1 owner = USA } } }

			ship = { name = "USS Astoria" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Vincennes" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Vicksburg" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wilkes-Barre" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Pasadena" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Duluth" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Atlanta" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Oklahoma City" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Springfield" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Dayton" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Amsterdam" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Topeka" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Little Rock" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Portsmouth" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }
			ship = { name = "USS Providence" definition = light_cruiser start_experience_factor = 0.2 equipment = { usa_light_cruiser_hull_4 = { amount = 1 owner = USA } } }

			ship = { name = "USS Baltimore" definition = heavy_cruiser start_experience_factor = 0.2 equipment = { usa_heavy_cruiser_hull_5 = { amount = 1 owner = USA } } }
			ship = { name = "USS Boston" definition = heavy_cruiser start_experience_factor = 0.2 equipment = { usa_heavy_cruiser_hull_5 = { amount = 1 owner = USA } } }
			ship = { name = "USS Pittsburgh" definition = heavy_cruiser start_experience_factor = 0.2 equipment = { usa_heavy_cruiser_hull_5 = { amount = 1 owner = USA } } }
			ship = { name = "USS St. Pau" definition = heavy_cruiser start_experience_factor = 0.2 equipment = { usa_heavy_cruiser_hull_5 = { amount = 1 owner = USA } } }

			ship = { name = "USS Boxer" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Leyte" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Kearsarge" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Franklin" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Hancock" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Ticonderoga" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Bennington" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Shangri-La" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Bon Homme Richard" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Randolph" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
			ship = { name = "USS Antietam" definition = carrier start_experience_factor = 0.3 equipment = { usa_carrier_hull_6 = { amount = 1 owner = USA } }
			}
		}
	}
}
