name	ext_reads	ext_files	internal_refs	files
WA_AI_CONFIG_MILITARY_is_chinese_warlord	2	2	0	common/ai_strategy/WA_AI_MILITARY_FACTION_CHINA_FRONT_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_CHINA_FRONT_FRONT.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_africa_topup	1	1	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_THEATRE.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_east_africa	2	2	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_RAJ_FRONT.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_egypt_guard	5	4	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_SAF_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_SAF_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_SAF_THEATRE.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_egypt_support	5	4	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_RAJ_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_RAJ_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_RAJ_THEATRE.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_gulf_guard	7	2	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_RAJ_THEATRE.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_commonwealth_uk_guard	11	4	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_CAN_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_CAN_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_COUNTRY_CAN_THEATRE.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_german_homeland_power	0	0	0	
WA_AI_CONFIG_MILITARY_is_iberian	4	2	0	common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_AXIS_FRONT.txt
WA_AI_CONFIG_MILITARY_is_italian_frontier_tripwire_force	1	1	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_THEATRE.txt
WA_AI_CONFIG_MILITARY_is_major_naval	1	1	0	common/scripted_effects/WA_TLM_core.txt
WA_AI_CONFIG_MILITARY_is_minor_naval	0	0	0	
WA_AI_CONFIG_MILITARY_is_pacific_commonwealth	2	2	0	common/scripted_effects/WA_TEST_total_commitment.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_pacific_expansionist	2	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_south_american	4	2	0	common/ai_strategy/WA_AI_MILITARY_REGION_SOUTH_AMERICA_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_REGION_SOUTH_AMERICA_INVASION.txt
WA_AI_CONFIG_MILITARY_is_western_allies_air_power	6	1	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_AIR.txt
WA_AI_CONFIG_MILITARY_is_western_allies_major	34	5	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_AIR.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_INVASION.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_THEATRE.txt;common/ai_strategy/WA_AI_NAVAL_FACTION_ALLIES.txt
WA_AI_CONFIG_MILITARY_is_western_european_bulwark	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_is_western_invasion_pool	8	4	0	common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_DIPLOMACY.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_FRONT.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_INVASION.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_THEATRE.txt
WA_AI_CONFIG_MILITARY_italian_power_shares_german_ideology	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_owns_naval_atlantic_corridor	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_owns_naval_home_defense	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_owns_naval_pacific_corridor	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_pacific_high_risk	5	3	0	common/ai_strategy/WA_AI_MILITARY_COUNTRY_USA_THEATRE.txt;common/ai_strategy/WA_AI_MILITARY_FACTION_ALLIES_DIPLOMACY.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_pacific_offensive_posture	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_MILITARY_western_bulwark_is_collapsing	1	1	0	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_PC_is_disabled	2	2	0	common/on_actions/WA_AI_misc_on_actions.txt;events/WA_AI_misc.txt
WA_AI_CONFIG_RAILWAY_has_scripted_override	1	1	0	common/scripted_effects/WA_AI_CONSTRUCTION_PRIORITY_railway_strategies.txt
WA_AI_CONFIG_RAILWAY_override_GER_to_SOV	1	1	1	common/scripted_effects/WA_AI_CONSTRUCTION_PRIORITY_railway_strategies.txt
WA_AI_CONFIG_TEMPLATES_admits_medium_armor	5	3	1	common/scripted_effects/WA_TEST_armor_budget.txt;common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_TEMPLATES_focus_on_heavy_armor	1	1	0	common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_can_research_nuclear	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_electronics.txt
WA_AI_CONFIG_can_research_rockets	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_electronics.txt
WA_AI_CONFIG_cheats_enabled	1	1	0	common/decisions/z_WA_ai_CHI.txt
WA_AI_CONFIG_early_game_army_expansion_override	21	4	0	common/ai_strategy/WA_AI_PRODUCTION_DEFAULT_army_composition.txt;common/scripted_effects/WA_TEST_armor_budget.txt;common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_faces_strategic_bombing	2	2	0	common/scripted_triggers/WA_AI_EQUIPMENT_triggers.txt;common/scripted_triggers/WA_AI_RESEARCH_industry.txt
WA_AI_CONFIG_focus_on_cruiser_submarines	5	4	0	common/ai_equipment/GER_naval.txt;common/ai_equipment/SOV_naval.txt;common/scripted_triggers/WA_AI_PRODUCTION_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_focus_on_escorts	3	2	0	common/scripted_triggers/WA_AI_PRODUCTION_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt
WA_AI_CONFIG_focus_on_minelayers	3	3	0	common/scripted_triggers/WA_AI_PRODUCTION_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_has_amphibious_doctrine	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_electronics.txt
WA_AI_CONFIG_has_penalised_army_xp_gain	2	2	0	common/scripted_effects/WA_TEST_armor_budget.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_has_special_ai_navy_files	0	0	0	
WA_AI_CONFIG_is_battleship_navy	16	4	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_is_carrier_navy	21	5	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_is_close_air_support_airforce	17	3	0	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_is_deep_battle	13	2	0	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_escort_navy	8	4	1	common/ai_equipment/ENG_naval.txt;common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_is_grand_battle_plan	9	1	0	common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_grand_battle_plan_defensive	5	2	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_grand_battle_plan_offensive	4	2	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_in_allies	1	1	2	common/scripted_triggers/WA_AI_MILITARY_triggers.txt
WA_AI_CONFIG_is_major_country	24	11	5	common/ai_strategy/WA_AI_MILITARY_DEFAULT_INVASION.txt;common/scripted_effects/WA_TLM_core.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt;common/scripted_triggers/WA_AI_PRODUCTION_ground.txt;common/scripted_triggers/WA_AI_PRODUCTION_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_air.txt;common/scripted_triggers/WA_AI_RESEARCH_army.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_industry.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt;common/scripted_triggers/WA_AI_RESEARCH_tanks.txt
WA_AI_CONFIG_is_minor_country	15	2	3	common/scripted_triggers/WA_AI_DOCTRINES_land.txt;common/scripted_triggers/WA_AI_PRODUCTION_navy.txt
WA_AI_CONFIG_is_mobile_warfare	15	2	0	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_reichskommissariat	2	1	0	common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt
WA_AI_CONFIG_is_reserve_materiel_limited	1	1	0	common/scripted_triggers/WA_reserves_triggers.txt
WA_AI_CONFIG_is_strategic_bombing_airforce	22	6	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_EQUIPMENT_triggers.txt;common/scripted_triggers/WA_AI_RESEARCH_air.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_industry.txt
WA_AI_CONFIG_is_strategic_oil_exporter	1	1	0	common/scripted_triggers/WA_AI_RESOURCE_NEEDS_triggers.txt
WA_AI_CONFIG_is_strategic_rubber_exporter	1	1	0	common/scripted_triggers/WA_AI_RESOURCE_NEEDS_triggers.txt
WA_AI_CONFIG_is_strategic_tungsten_exporter	1	1	0	common/scripted_triggers/WA_AI_RESOURCE_NEEDS_triggers.txt
WA_AI_CONFIG_is_submarine_navy	16	5	1	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_electronics.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_is_superior_firepower	14	2	0	common/country_leader/00_traits.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt
WA_AI_CONFIG_is_tactical_bombing_airforce	13	2	0	common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_main_focus_on_carriers	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_navy.txt
WA_AI_CONFIG_main_focus_on_submarines	7	1	0	common/scripted_triggers/WA_AI_PRODUCTION_navy.txt
WA_AI_CONFIG_majors_should_build_capitals	4	1	0	common/ai_strategy/WA_AI_PRODUCTION_DEFAULT_navy.txt
WA_AI_CONFIG_needs_cv_planes	5	2	0	common/scripted_triggers/WA_AI_PRODUCTION_carrier_planes.txt;common/scripted_triggers/WA_AI_RESEARCH_air.txt
WA_AI_CONFIG_needs_synth_fuel	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_industry.txt
WA_AI_CONFIG_needs_synth_rubber	1	1	0	common/scripted_triggers/WA_AI_RESEARCH_industry.txt
WA_AI_CONFIG_prospect_resource_disabled	9	1	0	common/scripted_triggers/WA_AI_RESOURCE_NEEDS_triggers.txt
WA_AI_CONFIG_secondary_focus_on_carriers	2	2	0	common/scripted_triggers/WA_AI_PRODUCTION_navy.txt;common/scripted_triggers/WA_AI_RESEARCH_naval.txt
WA_AI_CONFIG_switch_from_light_to_medium_armor	3	2	2	common/scripted_effects/WA_TEST_armor_budget.txt;common/scripted_triggers/WA_AI_TEMPLATES_triggers.txt
WA_AI_CONFIG_uses_default_army_composition	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt
WA_AI_CONFIG_uses_default_ground_production	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_ground.txt
WA_AI_CONFIG_uses_default_tanks_production	1	1	0	common/scripted_triggers/WA_AI_PRODUCTION_tanks.txt
WA_AI_DIFFICULTY_is_competitive	70	3	1	common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt
WA_AI_DIFFICULTY_is_competitive_hard	1	1	1	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt
WA_AI_DIFFICULTY_is_competitive_normal	0	0	0	
WA_AI_DIFFICULTY_is_historical	279	11	4	common/ai_strategy/WA_AI_MILITARY_COUNTRY_GER_FRONT.txt;common/ideas/zzz_ministries.txt;common/on_actions/WA_AI_misc_on_actions.txt;common/scripted_effects/WA_AI_LANDING_effects.txt;common/scripted_triggers/WA_AI_DOCTRINES_air.txt;common/scripted_triggers/WA_AI_DOCTRINES_land.txt;common/scripted_triggers/WA_AI_DOCTRINES_navy.txt;common/scripted_triggers/WA_AI_MILITARY_triggers.txt;common/scripted_triggers/WA_AI_PRODUCTION_army_composition.txt;events/WA_AI_Capitals.txt;events/WA_AI_invasions.txt
WA_AI_DIFFICULTY_is_historical_easy	1	1	0	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt
WA_AI_DIFFICULTY_is_historical_hard	1	1	1	common/scripted_effects/WA_AI_DIVISION_CREATOR_effects.txt
WA_AI_DIFFICULTY_is_historical_normal	0	0	0	
WA_AI_MILITARY_pacific_high_risk	0	0	1	
